sitename,city,state,country,notes,greenhouse,geometry,time_zone,soil,soilnotes
MAC Field Scanner Season 8 Range 1 Column 1 W,Maricopa,Arizona,USA,,f,0103000020E61000000100000005000000DDB5843C75F61841857CD09B63EC4B41FAD005557BF618412F17F19963EC4B4182CAF8377BF618413AAFB11F62EC4B4164AF771F75F618419014912162EC4B41DDB5843C75F61841857CD09B63EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 1 Column 1 E,Maricopa,Arizona,USA,,f,0103000020E61000000100000005000000FAD005557BF618412F17F19963EC4B4118EC866D81F61841BC05129863EC4B419FE5795081F61841E449D21D62EC4B4182CAF8377BF618413AAFB11F62EC4B41FAD005557BF618412F17F19963EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 1 Column 2 W,Maricopa,Arizona,USA,,f,0103000020E6100000010000000500000018EC866D81F61841BC05129863EC4B413507088687F6184166A0329663EC4B41BD00FB6887F618418FE4F21B62EC4B419FE5795081F61841E449D21D62EC4B4118EC866D81F61841BC05129863EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 1 Column 2 E,Maricopa,Arizona,USA,,f,0103000020E610000001000000050000003507088687F6184166A0329663EC4B415322899E8DF61841103B539463EC4B41DA1B7C818DF61841397F131A62EC4B41BD00FB6887F618418FE4F21B62EC4B413507088687F6184166A0329663EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 1 Column 3 W,Maricopa,Arizona,USA,,f,0103000020E610000001000000050000005322899E8DF61841103B539463EC4B41713D0AB793F61841BBD5739263EC4B41F836FD9993F61841E319341862EC4B41DA1B7C818DF61841397F131A62EC4B415322899E8DF61841103B539463EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 1 Column 3 E,Maricopa,Arizona,USA,,f,0103000020E61000000100000005000000713D0AB793F61841BBD5739263EC4B418E588BCF99F618416570949063EC4B4115527EB299F618418DB4541662EC4B41F836FD9993F61841E319341862EC4B41713D0AB793F61841BBD5739263EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 1 Column 4 W,Maricopa,Arizona,USA,,f,0103000020E610000001000000050000008E588BCF99F618416570949063EC4B41AC730CE89FF618410F0BB58E63EC4B41336DFFCA9FF618411AA3751462EC4B4115527EB299F618418DB4541662EC4B418E588BCF99F618416570949063EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 1 Column 4 E,Maricopa,Arizona,USA,,f,0103000020E61000000100000005000000AC730CE89FF618410F0BB58E63EC4B41C98E8D00A6F61841B9A5D58C63EC4B41518880E3A5F61841C53D961262EC4B41336DFFCA9FF618411AA3751462EC4B41AC730CE89FF618410F0BB58E63EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 1 Column 5 W,Maricopa,Arizona,USA,,f,0103000020E61000000100000005000000C98E8D00A6F61841B9A5D58C63EC4B41E7A90E19ACF618416440F68A63EC4B416EA301FCABF618416FD8B61062EC4B41518880E3A5F61841C53D961262EC4B41C98E8D00A6F61841B9A5D58C63EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 1 Column 5 E,Maricopa,Arizona,USA,,f,0103000020E61000000100000005000000E7A90E19ACF618416440F68A63EC4B4105C58F31B2F618410EDB168963EC4B418CBE8214B2F618411973D70E62EC4B416EA301FCABF618416FD8B61062EC4B41E7A90E19ACF618416440F68A63EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 1 Column 6 W,Maricopa,Arizona,USA,,f,0103000020E6100000010000000500000005C58F31B2F618410EDB168963EC4B4122E0104AB8F61841B875378763EC4B41A9D9032DB8F61841C30DF80C62EC4B418CBE8214B2F618411973D70E62EC4B4105C58F31B2F618410EDB168963EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 1 Column 6 E,Maricopa,Arizona,USA,,f,0103000020E6100000010000000500000022E0104AB8F61841B875378763EC4B4140FB9162BEF618416210588563EC4B41C7F48445BEF618416DA8180B62EC4B41A9D9032DB8F61841C30DF80C62EC4B4122E0104AB8F61841B875378763EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 1 Column 7 W,Maricopa,Arizona,USA,,f,0103000020E6100000010000000500000040FB9162BEF618416210588563EC4B415D16137BC4F618410DAB788363EC4B41E40F065EC4F618411843390962EC4B41C7F48445BEF618416DA8180B62EC4B4140FB9162BEF618416210588563EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 1 Column 7 E,Maricopa,Arizona,USA,,f,0103000020E610000001000000050000005D16137BC4F618410DAB788363EC4B417B319493CAF618419A99998163EC4B41022B8776CAF61841C2DD590762EC4B41E40F065EC4F618411843390962EC4B415D16137BC4F618410DAB788363EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 1 Column 8 W,Maricopa,Arizona,USA,,f,0103000020E610000001000000050000007B319493CAF618419A99998163EC4B41984C15ACD0F618414434BA7F63EC4B412046088FD0F618416C787A0562EC4B41022B8776CAF61841C2DD590762EC4B417B319493CAF618419A99998163EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 1 Column 8 E,Maricopa,Arizona,USA,,f,0103000020E61000000100000005000000984C15ACD0F618414434BA7F63EC4B41B66796C4D6F61841EECEDA7D63EC4B413D6189A7D6F6184116139B0362EC4B412046088FD0F618416C787A0562EC4B41984C15ACD0F618414434BA7F63EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 1 Column 9 W,Maricopa,Arizona,USA,"was originally range 36, changed to range 2, retained entry",f,0103000020E610000001000000050000000057B26375F618412C9FE59965EC4B411D72337C7BF61841D639069865EC4B41A56B265F7BF61841E1D1C61D64EC4B418750A54675F618413737A61F64EC4B410057B26375F618412C9FE59965EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 1 Column 9 E,Maricopa,Arizona,USA,"was originally range 36, changed to range 2, retained entry",f,0103000020E610000001000000050000001D72337C7BF61841D639069865EC4B413B8DB49481F6184180D4269665EC4B41C286A77781F618418B6CE71B64EC4B41A56B265F7BF61841E1D1C61D64EC4B411D72337C7BF61841D639069865EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 1 Column 10 W,Maricopa,Arizona,USA,"was originally range 36, changed to range 2, retained entry",f,0103000020E610000001000000050000003B8DB49481F6184180D4269665EC4B4158A835AD87F618412A6F479465EC4B41E0A1289087F618413507081A64EC4B41C286A77781F618418B6CE71B64EC4B413B8DB49481F6184180D4269665EC4B41,,some text,some text
